image_index,category,mse,psnr,mae,snr,nrr,ssim
0,cat,228.69303385416666,24.538274249658926,11.5166015625,17.844875431638695,0.613075076801743,0.8020131507553714
1,ship,234.330078125,24.432523235499772,11.8046875,21.106055782658597,0.5777066129156208,0.8214435176175754
2,ship,173.16927083333334,25.74609532606544,10.194010416666666,21.01370378675956,0.6937393350850085,0.8064700970563816
3,airplane,221.21842447916666,24.68259065918744,11.335611979166666,20.888999907654487,0.6335691612373767,0.7926023927431908
4,frog,246.46940104166666,24.213173511841863,12.413411458333334,17.31232903323556,0.602083878583013,0.74717813774876
5,frog,173.89453125,25.727944366299656,10.305989583333334,18.241422905583804,0.7222347301740153,0.7834713804413068
6,automobile,257.58203125,24.02164797215681,12.235677083333334,15.879586618995429,0.4937623313910193,0.805307961506888
7,frog,122.81087239583333,27.238435444495753,8.554361979166666,18.832462337424104,0.7863172829402153,0.8051161629962343
8,cat,153.2919921875,26.275608925080935,9.7373046875,22.52563877119096,0.7438210572298513,0.8212257662652894
9,automobile,259.8072916666667,23.98429025192645,12.421875,19.79847536860004,0.5385121543226901,0.8368086191807254
10,airplane,131.3720703125,26.945773167891875,8.775065104166666,21.967425450175625,0.7774441438982224,0.8172409037673333
11,truck,356.7513020833333,22.60714793975199,14.787760416666666,17.81566273915586,0.39633695275582315,0.8115575380547831
12,dog,176.44759114583334,25.664646270991696,10.511393229166666,18.097295445491525,0.7121315922522315,0.8179703767474038
13,horse,321.8600260416667,23.054133187816618,13.646484375,15.239487356664988,0.33474222753304905,0.8020342887181915
14,truck,323.5628255208333,23.03121741619187,13.896158854166666,16.671075480808405,0.4306864627340292,0.7787947238629319
15,ship,250.32194010416666,24.14581444745157,12.2177734375,18.818312860394318,0.5821154823266013,0.8146822583450158
16,dog,227.52571614583334,24.560498708679503,11.8115234375,19.884920161800842,0.5816392920610352,0.8426662546775998
17,horse,191.5732421875,25.307455115629548,10.8271484375,20.19867627606697,0.6867742344101107,0.8427457481704691
18,ship,210.34212239583334,24.901541091409154,11.457356770833334,21.158174988745408,0.5829158216384875,0.8069063312128524
19,frog,234.3544921875,24.432070782259117,11.9814453125,18.062895235517296,0.6053825055141657,0.7838952192308387
20,horse,268.8561197916667,23.835604343880338,12.5,18.05682980056849,0.5436197182787286,0.8497968658946912
21,airplane,179.86946614583334,25.581229151980097,9.881184895833334,24.61376707251101,0.542658570863385,0.857535591675707
22,deer,105.0380859375,27.917335616702953,7.9931640625,18.351559749249603,0.8291968716503235,0.7333276387622348
23,truck,362.9560546875,22.53226315341601,14.6513671875,15.61662679693578,0.36967952048200536,0.8102683808677108
24,dog,177.94173177083334,25.628025479589333,10.5439453125,20.891594650959146,0.7090553454667388,0.8114959445791401
25,bird,192.2265625,25.29266961145677,10.830729166666666,18.95017039101704,0.6773700071899524,0.7903526352044025
26,deer,160.40299479166666,26.078678883826456,9.756510416666666,18.88487010805151,0.7157845315466839,0.8382482045557841
27,airplane,162.21354166666666,26.029932543612976,10.045572916666666,21.28602160336992,0.717763425805571,0.8608387980000316
28,truck,300.6513671875,23.350171777632678,13.5478515625,18.354333886841584,0.48321543055728855,0.8518446235199134
29,frog,196.42317708333334,25.198876295273557,10.962890625,16.097018710821185,0.659343699225776,0.745771038246036
30,frog,173.07421875,25.74847980967677,10.392578125,14.533731101008314,0.6942452310999394,0.7198507462793925
31,dog,116.6689453125,27.461250890060278,8.535481770833334,21.642946055790567,0.8040154181733872,0.8410317839434384
32,deer,192.78743489583334,25.28001635934039,10.861653645833334,19.553014210114654,0.7011821168312266,0.7226527636710149
33,dog,175.37825520833334,25.691046157857524,10.623046875,20.222820655671757,0.689942921993391,0.8341167046367843
34,truck,172.53059895833334,25.76214230848396,10.245442708333334,18.904330955836155,0.7101195151138598,0.8290310256681881
35,bird,229.2802734375,24.527136698788116,11.3193359375,16.95406269452129,0.605439436954247,0.8041545009755199
36,deer,186.27962239583334,25.429150119570757,10.5947265625,19.469979911772057,0.7019751112546189,0.7756822749721245
37,automobile,381.5390625,22.315413526274984,14.852864583333334,19.265997565762433,0.2892624225721069,0.8576239007867968
38,truck,329.126953125,22.9571691152965,13.822916666666666,18.592772095018603,0.43075637689465807,0.8240922906286237
39,dog,168.95865885416666,25.852999073067235,10.1611328125,20.587998926412613,0.726036847508531,0.8689543070763749
40,deer,264.5491536458333,23.905739844064943,12.588216145833334,19.107398869376723,0.5662880981186491,0.8651326326785824
41,frog,193.28450520833334,25.26883320974076,10.477213541666666,13.404567057466494,0.6212097530976821,0.7127812390109322
42,dog,213.49381510416666,24.836950627951033,11.336263020833334,17.204666680944047,0.6318648596310527,0.8371972199597332
43,frog,157.82259114583334,26.149111914765058,9.923502604166666,18.769645637988813,0.724069419877114,0.7926086244797815
44,airplane,191.86783854166666,25.300781777658884,10.5234375,20.018499429544736,0.6599310767001052,0.794764173801704
45,truck,265.3108723958333,23.893253132045977,12.9384765625,19.885413406160303,0.5480737401086462,0.8504387979500564
46,cat,152.76009114583334,26.29070452040412,9.659830729166666,19.831482427648886,0.7442735528984536,0.8070246875161969
47,truck,292.0979817708333,23.475518046092457,13.324544270833334,16.584276129291847,0.530772673982637,0.7779822829750488
48,horse,159.27766927083334,26.109254688851053,10.0263671875,19.15123763582883,0.7395990163004402,0.7903161672259266
49,frog,122.45052083333333,27.251197241669814,8.801432291666666,18.71903381914835,0.8027471965643,0.768838430316209
50,truck,200.88216145833334,25.10138988202186,11.129557291666666,19.546081596946507,0.6414221324549257,0.8049211553115416
51,ship,191.57584635416666,25.30739607985224,10.396809895833334,17.956182878034472,0.6681833276669976,0.7822153566843081
52,airplane,177.18815104166666,25.646456845656157,10.201171875,16.966476251016335,0.7052184993774799,0.7716432773640189
53,cat,215.64029947916666,24.793504345669064,11.6337890625,17.113202591568488,0.6237338696714323,0.7724697471711236
54,ship,210.98372395833334,24.888314073129855,10.800130208333334,20.60355998203105,0.6272929686511651,0.8225191241015438
55,ship,115.62044270833333,27.500457329208515,8.385416666666666,21.902422328831285,0.8206869394668357,0.7603855610665772
56,horse,405.2164713541667,22.053932704954736,15.429361979166666,16.65952050517888,0.29615749742877606,0.8048759780365083
57,horse,191.572265625,25.307477254252934,10.965494791666666,15.29887445829836,0.5741122544312197,0.6696127053332436
58,deer,211.6357421875,24.874913453121543,11.341471354166666,20.362497893729092,0.6632653695433964,0.8042767271297692
59,frog,188.81022135416666,25.370548594781358,10.6240234375,19.875944805499625,0.7038376896250644,0.8348371259652437
60,horse,219.53548177083334,24.71575639059911,11.245768229166666,20.14399800170834,0.6556255173304752,0.7985227201208452
61,cat,159.2109375,26.111074612053862,9.66796875,19.01675139589908,0.7218538978875282,0.8347970213499024
62,frog,221.71842447916666,24.672785770129508,11.448893229166666,14.904221853103369,0.5412907614185849,0.7731176786824902
