image_index,category,mse,psnr,mae,snr,nrr,ssim
0,cat,330.7190755208333,22.93621115592805,13.525065104166666,16.242812337907818,0.4600344185413682,0.7364597970724168
1,ship,297.6793619791667,23.393316346835906,12.851236979166666,20.066848893994727,0.3992087305065136,0.7814339352245261
2,ship,235.0986328125,24.418302573223542,11.814778645833334,19.68591103391766,0.5828273837201579,0.7531935309289605
3,airplane,284.2145182291667,23.594341021048507,12.941731770833334,19.80075026951555,0.54547503750803,0.741857437966587
4,frog,324.1321614583333,23.023582355718656,14.074869791666666,16.122737877112353,0.48197024591136206,0.6848809615599517
5,frog,245.26953125,24.234367597950875,12.143229166666666,16.747846137235015,0.5908016338216948,0.7133872692469714
6,automobile,346.3343098958333,22.735848434439447,13.905924479166666,14.59378708127806,0.33638526291628,0.739751923530596
7,frog,182.42643229166666,25.51992596136842,10.453776041666666,17.113952854296762,0.6965407374677272,0.7255597708236913
8,cat,203.81575520833334,25.038426084027478,11.078776041666666,21.288455930137495,0.6512482712024521,0.7656114362768142
9,automobile,356.2985026041667,22.61266363698241,14.394856770833334,18.426848753656,0.41613310182406893,0.7821156422072605
10,airplane,165.6806640625,25.938085342889977,9.926106770833334,20.959737625173716,0.7266133684548639,0.774796859525345
11,truck,457.8714192708333,21.523368255305503,16.0498046875,16.73188305470937,0.1790616453306969,0.757604352414646
12,dog,225.23600260416666,24.604425498101858,11.777018229166666,17.03707467260168,0.619915614317551,0.7624177901813023
13,horse,474.4986979166667,21.36845335860936,15.801432291666666,13.553807527457726,0.08605042817677822,0.7282212604218193
14,truck,429.9397786458333,21.796727323427273,15.915690104166666,15.436585388043804,0.27536450546586755,0.7174547573792224
15,ship,328.3600260416667,22.967300794308507,13.781901041666666,17.63979920725125,0.4523645748901034,0.7752008357614741
16,dog,306.9599609375,23.259986299442286,13.171549479166666,18.58440775256362,0.456785963020377,0.79984436532169
17,horse,260.73046875,23.96888575434904,12.630208333333334,18.860106914786453,0.5793320374847233,0.7944509724806984
18,ship,256.8411458333333,24.03415762121568,12.104166666666666,20.290791518551927,0.48148566787103253,0.7563952293974481
19,frog,320.9300130208333,23.06670027132241,13.9208984375,16.697524724580585,0.45971171019108803,0.7160823706875173
20,horse,379.0380859375,22.343975105793433,14.277669270833334,16.565200562481582,0.36945520708953705,0.7852604054999435
21,airplane,232.9599609375,24.45799076057036,10.2119140625,23.490528681101264,0.4127512813316987,0.7836699879479427
22,deer,138.4384765625,26.718235493858064,9.298502604166666,17.152459626404706,0.7694220736902944,0.6717812857440464
23,truck,533.5022786458334,20.859440821848374,16.9091796875,13.943804465368137,0.08731217693765003,0.74758764744939
24,dog,260.5618489583333,23.971695335274244,12.668619791666666,19.23526450664405,0.5831535816839752,0.7455201915122301
25,bird,260.525390625,23.972303051288346,12.286458333333334,17.629803830848612,0.5788894898901991,0.7235086433879127
26,deer,219.29947916666666,24.720427606327533,11.41796875,17.52661883055258,0.6332563032643874,0.7809562343965976
27,airplane,209.6806640625,24.91521977508615,11.195638020833334,20.17130883484309,0.625373600470392,0.8221404340795554
28,truck,407.0657552083333,22.0341579238586,15.286458333333334,17.038320033067503,0.32173701746878136,0.7969214089531184
29,frog,266.8815104166667,23.86761874012454,12.747395833333334,14.765761155672163,0.5498383808545416,0.6752319150631211
30,frog,238.26139322916666,24.36026683883867,12.080403645833334,13.145518130170208,0.5849330620429347,0.6559832085710943
31,dog,164.05110677083334,25.981011961681254,10.0537109375,20.162707127411533,0.7361173144720906,0.7962494858968082
32,deer,255.80403645833334,24.051729677239063,12.442057291666666,18.324727528013323,0.5886891209337626,0.6573369340365071
33,dog,225.11458333333334,24.606767305673287,11.624348958333334,19.138541803487513,0.611012988883064,0.7915756795673938
34,truck,233.49348958333334,24.448055850769173,11.802734375,17.590244498121358,0.6195718239223202,0.7739626601916085
35,bird,329.2197265625,22.955945109966688,12.976236979166666,15.38287110569986,0.430988037596447,0.7550267941197699
36,deer,256.5540364583333,24.039015089090906,12.33984375,18.079844881292203,0.5843492981813101,0.7216817816161817
37,automobile,561.3235677083334,20.638670839950976,17.361328125,17.589254879438418,0.0,0.7877482204318866
38,truck,509.2037760416667,21.061887453285955,16.634765625,16.697490433008056,0.15937120802563154,0.7446386086622455
39,dog,222.10677083333334,24.665185628294136,11.429036458333334,19.40018548163951,0.6274723270804237,0.8206413533249087
40,deer,350.0009765625,22.69011104760167,14.4423828125,17.89177007291344,0.4241838879046821,0.8240998192530964
41,frog,287.5260416666667,23.54403175355488,12.805338541666666,11.679765601280607,0.4554065060450444,0.6121280594809375
42,dog,286.6110026041667,23.557875025157337,12.894856770833334,15.925591078150347,0.4695557666830735,0.7780544030948677
43,frog,217.52897135416666,24.75563254697509,11.451497395833334,17.376166270198834,0.6346371598484637,0.7322982293020187
44,airplane,248.95865885416666,24.169531251060473,11.5537109375,18.887248902946318,0.5413589023811765,0.7378361565302075
45,truck,342.8206380208333,22.780134020252333,13.7841796875,18.772294294366656,0.4222399848146293,0.8038977368728966
46,cat,191.0634765625,25.3190268502871,10.9013671875,18.859804757531858,0.6642350589701096,0.7604891646617314
47,truck,381.0003255208333,22.321550141375887,15.244466145833334,15.43030822457527,0.38256545681957377,0.720782287912766
48,horse,226.57389322916666,24.578704936445682,11.8193359375,17.62068788342345,0.6362478553551709,0.7214340150127064
49,frog,178.134765625,25.623316741634948,10.625,17.091153319113474,0.70490726550527,0.690073316047589
50,truck,262.5345052083333,23.938939695573332,12.271484375,18.383631410497976,0.5202087864495835,0.7582111457805709
51,ship,259.0950520833333,23.996212414885036,11.949869791666666,16.64499921306726,0.5643552217549817,0.7165912910314308
52,airplane,226.43587239583334,24.5813513115443,11.601888020833334,15.901370716904475,0.6243370241979079,0.7128558864466427
53,cat,280.0751953125,23.658057133650267,13.003580729166666,15.977755379549688,0.5102998050626788,0.716661729157504
54,ship,301.8619791666667,23.33271945685038,12.2109375,19.047965365751573,0.45513750827000343,0.7676136536678094
55,ship,139.20345052083334,26.69430360337726,9.4248046875,21.096268603000023,0.7665051366543904,0.7129071772348712
56,horse,577.2861328125,20.516892355801634,17.580403645833332,15.122480156025775,0.010216394452729372,0.7413231795809153
57,horse,212.50618489583334,24.857087863543175,10.214518229166666,14.848485067588602,0.5400418938618377,0.7171014798612295
58,deer,264.5302734375,23.9060498001842,12.4208984375,19.393634240791748,0.5596000487745396,0.7456286324535822
59,frog,255.52018229166666,24.05655152241642,12.448567708333334,18.56194773313468,0.5917736692929766,0.7770629863037777
60,horse,300.7535807291667,23.34869554177187,12.9580078125,18.776937152881096,0.5191754244812186,0.7389939691923436
61,cat,215.04947916666666,24.80541965804427,11.287760416666666,17.711096441889474,0.6134256401193958,0.7731026773102126
62,frog,262.1266276041667,23.945692207523955,11.8681640625,14.177128290497818,0.4464664031620553,0.74456988004686
63,cat,274.314453125,23.748316704814933,12.4375,18.95145528685555,0.504459717880505,0.8176209559125812
64,frog,285.66015625,23.5723069145989,13.070963541666666,16.63661688394596,0.5379543792420971,0.7648053995811369
65,bird,371.19921875,22.43473307364514,14.7578125,14.043746135605137,0.36151142177881646,0.7034527480076731
66,automobile,330.5439453125,22.938511544199457,13.419596354166666,16.98215049004091,0.4583484024592813,0.7491189845739566
67,bird,350.1712239583333,22.687999066978307,13.19140625,19.52506763121632,0.3729786379562291,0.7777668260625306
68,cat,383.3206380208333,22.295181585264785,14.679361979166666,13.826793045731378,0.2933626335115388,0.7377725177482569
69,horse,268.6005859375,23.839734051444992,12.2080078125,18.413295324551715,0.5082425326724448,0.7239176742388712
70,bird,156.84928385416666,26.17597820740702,9.9345703125,22.4551699516828,0.7535611173195786,0.7270651243573614
71,frog,238.61100260416666,24.353898952967597,11.976888020833334,16.399521396749876,0.595535519683497,0.7228643673837832
72,ship,206.2509765625,24.98684347332244,10.306315104166666,21.26400996349615,0.6681339379105422,0.7308646270728919
73,ship,224.82356770833334,24.61238525549224,11.305989583333334,18.60042051573037,0.6393033383834981,0.7133459232125506
74,airplane,341.8307291666667,22.79269259453215,13.878255208333334,18.390517480767535,0.4242992908617934,0.7558557085246452
75,bird,183.365234375,25.497633629599097,10.382161458333334,19.572816800248244,0.6972281197761856,0.7556739258154085
76,truck,370.6731770833333,22.440892004282162,14.799479166666666,17.589698202997873,0.40063457440985006,0.782951864289087
77,cat,234.49869791666666,24.42939925284511,11.881510416666666,17.43760600964331,0.6180235936896848,0.7656664888128807
78,cat,226.11263020833334,24.587555390064743,11.194010416666666,15.394922215774486,0.5714038904609294,0.7478684854052663
79,ship,226.32747395833334,24.58343084578804,10.443359375,23.176739081464728,0.5277394761973979,0.805652566759819
80,ship,188.06966145833334,25.387616180762357,10.600911458333334,21.908990062166474,0.6638893542952351,0.7558923942929775
81,automobile,286.85546875,23.554172269725857,11.695963541666666,13.559816302165665,0.4245901799910543,0.6682414519803265
