image_index,category,mse,psnr,mae,snr,nrr,ssim
0,cat,193.47819010416666,25.26448344749432,10.6162109375,18.571084629474093,0.5142100298977852,0.8322135987406508
1,ship,177.03678385416666,25.65016849505165,10.342122395833334,22.32370104221048,0.53116422532103,0.8563463937277159
2,ship,136.43391927083334,26.781580057905053,9.121419270833334,22.04918851859918,0.6585968033338383,0.8489746149743741
3,airplane,170.9423828125,25.802306074533536,10.2607421875,22.00871532300059,0.5808292657617566,0.8345700203394824
4,frog,185.73502604166666,25.441865498463834,10.819661458333334,18.54102101985754,0.535787101445738,0.8130402555650657
5,frog,137.68815104166666,26.741837928596016,9.174479166666666,19.25531646788017,0.6645520982445566,0.8150328112427611
6,automobile,223.5654296875,24.636757121754083,11.426106770833334,16.494695768592706,0.38892418240638915,0.8322866851369831
7,frog,107.2373046875,27.827344710182366,8.064127604166666,19.421371603110725,0.7273054617876837,0.8214015408211904
8,cat,126.80891927083333,27.099305595786973,8.917643229166666,23.349335441896994,0.6863944910110225,0.8624441438272212
9,automobile,210.26985677083334,24.903033419922465,11.3642578125,20.717218536596064,0.47829377287188035,0.87250291459278
10,airplane,105.91276041666667,27.881320736150602,8.030598958333334,22.90297301843436,0.7351001788719425,0.8365093006999363
11,truck,279.4205729166667,23.66821982084524,13.111979166666666,18.876734620249117,0.27189847734681216,0.8511384577119355
12,dog,139.92610677083334,26.671816101448506,9.425455729166666,19.104465275948336,0.6511802659564541,0.8409399547990776
13,horse,294.2578125,23.443523587471734,13.061197916666666,15.628877756320104,0.1411804161469027,0.8239447690391343
14,truck,266.6829427083333,23.870851221729698,12.379557291666666,17.510709286346238,0.30828145620157243,0.8335998202461532
15,ship,204.39388020833334,25.026124724949568,11.211588541666666,19.698623137892316,0.4922145790438174,0.8523893005057989
16,dog,194.57291666666666,25.23997971804992,10.705729166666666,20.564401171171266,0.47152822598470456,0.864839773554817
17,horse,176.89713541666666,25.653595606478824,10.464192708333334,20.544816766916245,0.5727757219553191,0.8628114490193791
18,ship,161.2294921875,26.05635874746423,9.892903645833334,22.312992644800488,0.5263950537482238,0.8468674748631813
19,frog,196.27604166666666,25.20213069963649,11.086588541666666,18.832955152894677,0.5102600423657229,0.8204842543939884
20,horse,236.44596354166666,24.39348456458285,11.599609375,18.614710021271005,0.39369439229791336,0.8686373880048
21,airplane,216.65755208333334,24.773065289286016,9.690104166666666,23.80560320981692,0.18766804786808822,0.8471755178093997
22,deer,83.47200520833333,28.91539514391293,7.267578125,19.34961927645959,0.7959976960578404,0.7729545812741594
23,truck,326.1331380208333,22.996854316467292,13.896809895833334,16.08121795998706,0.12348363029362419,0.8391309798370999
24,dog,140.04524739583334,26.668119857646325,9.4560546875,21.931689029016145,0.651410824423176,0.8494316636667943
25,bird,157.77864583333334,26.150321365464954,9.752604166666666,19.80782214502523,0.6186813835206375,0.8299493436401945
26,deer,130.85611979166666,26.962863226226045,8.91796875,19.7690544504511,0.6778335127198821,0.8673021635529775
27,airplane,124.15657552083333,27.191106354727665,8.839518229166666,22.447195414484618,0.6754076456971678,0.8913877238364196
28,truck,239.21256510416666,24.34296372791991,11.9580078125,19.347125837128814,0.388360504419203,0.8820984999631915
29,frog,140.458984375,26.655308370548173,9.300130208333334,17.553450786095812,0.6368601774082241,0.803791517617153
30,frog,134.15266927083334,26.854810425028074,9.209309895833334,15.640061716359625,0.657522395997806,0.7886625130399955
31,dog,91.1142578125,28.53494018968565,7.676106770833333,22.716635355415946,0.7690834137009039,0.8655063197994409
32,deer,149.74641927083334,26.37723914511138,9.7451171875,20.65023699588565,0.6460595531475026,0.7774975139741844
33,dog,140.640625,26.649695731506675,9.477864583333334,21.181470229320915,0.6354006855730915,0.8679609111982226
34,truck,132.00032552083334,26.925053586641226,9.046549479166666,20.067242233993433,0.67279908659219,0.8637480876929718
35,bird,197.91015625,25.16612279192314,10.350260416666666,17.593048787656322,0.49405537113674025,0.8340804828343575
36,deer,140.7197265625,26.647253783107196,9.2666015625,20.688083575308504,0.6528438407208278,0.8289772114614342
37,automobile,380.8792317708333,22.322930683677026,15.1474609375,19.27351472316447,0.0,0.8595273188990605
38,truck,284.3889973958333,23.5916757071844,12.837565104166666,19.227278686906505,0.2984629739819341,0.8536370796413285
39,dog,132.94791666666666,26.893988246704957,9.055338541666666,21.628988100050343,0.672886963806729,0.8939430522181081
40,deer,215.45377604166666,24.797262509341756,11.387369791666666,19.998921534653537,0.47177867303419574,0.8903521714730657
41,frog,172.98177083333334,25.750800221531236,10.067057291666666,13.886534069256971,0.5434998118676304,0.7488176816589148
42,dog,162.87825520833334,26.012172524549285,9.947265625,18.379888577542303,0.5684164493778048,0.8687559353316914
