image_index,category,mse,psnr,mae,snr,nrr,ssim
0,mountain,174.36555989583334,25.716196521993492,10.2724609375,23.2058645940024,0.680060708613587,0.8307731471248591
1,forest,163.46256510416666,25.996620511508773,10.0556640625,19.155047919058966,0.7238151966348989,0.7849511169251668
2,seal,247.72298177083334,24.191140620201796,12.3525390625,17.15218831945108,0.5894922575835548,0.7481978018695906
3,mushroom,269.484375,23.825467714861585,13.080078125,16.857124031948064,0.5652576217871126,0.7631144651120344
4,sea,80.052734375,29.09704190088008,7.166015625,21.215884407180763,0.8659421613161895,0.7811206434594852
5,tulip,197.61360677083334,25.172635160513217,10.574544270833334,18.29695023910299,0.6639298794935273,0.7956520885434891
6,camel,175.21158854166666,25.695175337318577,10.270833333333334,17.850915993358637,0.7151652226923753,0.759910848840723
7,butterfly,322.4697265625,23.04591411521374,13.851888020833334,16.261536678324827,0.4497118926428607,0.7806804199803073
8,cloud,93.59505208333333,28.418274705668086,7.584635416666667,24.87570679228528,0.8317370659032362,0.8156748855055828
9,apple,197.85416666666666,25.167351602396444,11.069010416666666,19.24937520206939,0.6621088842290648,0.8595084795721406
10,sea,234.83463541666666,24.423182101108022,11.853515625,15.601040050347304,0.5538188549527201,0.7673028840731003
11,skunk,217.71256510416666,24.751968661496015,11.6708984375,20.9377464208775,0.6264238543394148,0.8012484155133414
12,streetcar,476.5530598958333,21.349690984180697,16.400065104166668,16.706509862127724,0.16470047870914006,0.7262211505784694
13,rocket,114.64973958333333,27.53707288262043,8.325520833333334,22.843636364878463,0.7954867064965622,0.8024417122500328
14,lamp,288.4928385416667,23.5294532403626,13.147786458333334,22.31201981078794,0.31482120022451443,0.8661227444061166
15,lion,134.6533203125,26.83863294055259,9.0751953125,20.06608013515431,0.7833772526084488,0.7382006458579365
16,tulip,209.1123046875,24.927007723321264,10.662434895833334,17.760176090972905,0.6074843960515823,0.7986494899719743
17,wolf,357.4622395833333,22.598501888754846,15.072916666666666,18.335811276369856,0.3904702063508275,0.7999964513278651
18,rose,453.5146484375,21.564890416154945,16.644856770833332,16.5053178246737,0.22110631988715745,0.7692416980429697
19,orange,268.384765625,23.843225006107925,12.2265625,18.660727874193487,0.5378955386252853,0.7847431298448142
20,rose,540.9778645833334,20.799008656060458,18.127604166666668,16.496255698415112,0.0,0.7017710458093062
21,mountain,525.7835286458334,20.92273384138021,17.294596354166668,17.592950448069193,0.07348687961691436,0.7239816228420586
22,skunk,978.8375651041666,18.22369732835892,23.9814453125,14.524010574975314,0.0,0.7910679585005594
23,dinosaur,199.265625,25.136479751650104,10.936197916666666,18.41255485667174,0.6833445843711445,0.7738642448630922
24,chimpanzee,282.7145182291667,23.617322494957705,13.031575520833334,15.4575725880829,0.501276240451166,0.7738258400574672
