image_index,category,mse,psnr,mae,snr,nrr,ssim
0,mountain,301.7164713541667,23.334813409714744,13.169596354166666,20.824481481723645,0.7043072104373758,0.7236313749693651
1,forest,240.51041666666666,24.319464701668515,12.194010416666666,17.4778921092187,0.6875846210962243,0.7306445484179056
2,seal,319.6819661458333,23.083622232645254,13.867513020833334,16.044669931894532,0.571853576340978,0.7000977975579309
3,mushroom,333.8873697916667,22.89480369886405,14.367838541666666,15.926460015950521,0.5695547332100654,0.7502782302318073
4,sea,121.72526041666667,27.276996485277706,8.583984375,19.395838991578366,0.8151864050261548,0.713331128506116
5,tulip,270.7887369791667,23.80449764257765,12.5361328125,16.928812721167418,0.6203870225820216,0.7425538689068696
6,camel,244.65983072916666,24.24517689941567,11.952799479166666,16.400917555455724,0.6615443156539047,0.7003930510409934
7,butterfly,341.3671875,22.798585868324288,14.126302083333334,16.014208431435375,0.5362182959998231,0.7812505020682563
8,cloud,232.3095703125,24.470132593401882,11.7158203125,20.92756468001905,0.7411522118790226,0.6805759185766145
9,apple,284.3297526041667,23.59258053707423,12.6865234375,17.674604136747174,0.645649879146406,0.8157478654184033
10,sea,209.31315104166666,24.922838451646715,10.574869791666666,16.100696400886,0.6105360769418533,0.7808936161291351
11,skunk,319.2431640625,23.08958754358361,13.908528645833334,19.27536530296509,0.6640318101204116,0.7520226360115266
12,streetcar,533.5771484375,20.85883139134845,17.109049479166668,16.215650269295477,0.3502590205301864,0.7165214045060835
13,rocket,210.3984375,24.900378506126692,11.241536458333334,20.206941988384713,0.7535520519598771,0.7042904737270673
14,lamp,379.3121744791667,22.340835787391498,14.068033854166666,21.123402357816833,0.598127221471529,0.7758480421152628
15,lion,213.21451822916666,24.84263587473306,11.429361979166666,18.07008306933477,0.7439754621082746,0.6655496619615221
16,tulip,230.94173177083334,24.495779427182573,10.6728515625,17.32894779483421,0.5736334783896881,0.7757387878915795
17,wolf,441.1998697916667,21.684449852701306,16.522786458333332,17.421759240316312,0.513443288192106,0.7726289446936083
18,rose,510.3382161458333,21.052222696279518,17.421549479166668,15.992650104798267,0.34097203072349536,0.7471386886004471
19,orange,335.0068359375,22.88026691802273,13.486653645833334,17.69776978610829,0.5608211391481354,0.7230215988945137
20,rose,423.3515625,21.863791938693048,14.096354166666666,17.561038981047705,0.38783296987167204,0.7652964244408436
21,mountain,634.5322265625,20.106266769701264,19.140299479166668,16.776483376390246,0.35904486889454745,0.6721548321044523
22,skunk,821.16796875,18.98648360337929,19.134114583333332,15.286796849995687,0.0,0.8198051321226875
23,dinosaur,291.6761067708333,23.48179506386506,13.163736979166666,16.757870168886694,0.6322710304614192,0.7091200196511798
24,chimpanzee,285.1927083333333,23.57941943373493,12.473958333333334,15.419669526860124,0.5109634017413283,0.8086334101794662
25,can,309.8268229166667,23.21961347249658,13.40234375,16.566054951409875,0.5747825636315224,0.7582737328042995
26,keyboard,709.4407552083334,19.621642271214988,20.770182291666668,14.513646000790843,0.17877136863651077,0.7317526177939765
27,bicycle,603.2451171875,20.325865455578814,18.802408854166668,17.101392616562293,0.3928528954147701,0.7281088447100804
28,bicycle,368.2900390625,22.468903879774047,14.006184895833334,17.56235346076595,0.5017136771786294,0.7310528055275537
29,rose,340.349609375,22.81155104374124,12.764973958333334,21.413001565134977,0.6272066940307661,0.7814757267429365
30,chair,620.4436848958334,20.203779923561257,18.056966145833332,18.436971663120467,0.34085903293175135,0.7299988152513669
31,plate,372.9016927083333,22.41486006114218,14.453125,16.085689814148523,0.5439967645398665,0.6462116972716174
32,lawn_mower,437.0462239583333,21.72552988546463,14.020182291666666,20.079749022039287,0.4711651173782889,0.775204744901144
33,turtle,223.89713541666666,24.630318237010847,9.736979166666666,14.60239388076193,0.4213575734121894,0.7997139630478985
