image_index,category,mse,psnr,mae,snr,nrr,ssim
0,mountain,639.5384114583334,20.072137270127072,9.876953125,17.561805342135962,0.5382880299908253,0.7082561990135146
1,forest,273.1490885416667,23.766806051916987,10.1171875,16.925233459467172,0.7500228642891976,0.7433526071732849
2,seal,414.3860677083333,21.95675215528192,12.004557291666666,14.9177998545312,0.6406927408865928,0.6944489361954863
3,mushroom,434.0533854166667,21.755372130005114,12.850911458333334,14.787028447091586,0.6712794937345459,0.7312838258202884
4,sea,357.67578125,22.595908264376213,6.854817708333333,14.714750770676854,0.733818547574381,0.6478587023418543
5,tulip,276.4541015625,23.714573232119022,9.254231770833334,16.83888831070879,0.7058387713537553,0.7756501717110762
6,camel,384.7845052083333,22.278627856466443,10.641276041666666,14.434368512506488,0.7236750259830913,0.6671666798723946
7,butterfly,576.8372395833334,20.520270709743407,14.270833333333334,13.735893272854492,0.6615321554613735,0.7009907276599691
8,cloud,534.9332682291666,20.847807527671275,7.2919921875,17.305239614288432,0.5981081197413125,0.701353774479065
9,apple,331.9791666666667,22.91969530433745,9.854817708333334,17.00171890401039,0.6623895973198797,0.8148644317309884
10,sea,401.3154296875,22.095945031542122,9.5986328125,13.273802980781396,0.5428076933916993,0.7695408696661298
11,skunk,346.5543619791667,22.73308991311805,10.179361979166666,18.91886767249953,0.6849451724727756,0.7784010413716688
12,streetcar,780.5208333333334,19.20695861309377,15.737630208333334,14.563777491040797,0.48670270668331583,0.7129426896740699
13,rocket,369.1852213541667,22.458360531640807,7.846028645833333,17.76492401389882,0.7180838079840755,0.6964755260943413
14,lamp,780.7652994791666,19.205598576688093,9.8896484375,17.988165147113424,0.4687825641882023,0.7228731312890312
15,lion,181.02115885416666,25.553510200509674,7.802408854166667,18.78095739511139,0.8238301638854006,0.7176800662454613
16,tulip,728.3470052083334,19.507420220191523,10.621744791666666,12.340588587843149,0.5122315862400022,0.6657997133113848
17,wolf,402.6744791666667,22.081262552443654,13.194010416666666,17.818571940058657,0.5427676724292473,0.8089841839836341
18,rose,543.6292317708334,20.777775595045775,14.4404296875,15.718203003564524,0.47136175796069457,0.7667619598658156
19,orange,423.3756510416667,21.8635448338272,10.623046875,16.681047701912746,0.6247733106995041,0.7067158055078396
20,rose,827.388671875,18.953707903754417,13.677734375,14.650954946109069,0.45124184982080395,0.7327066121337387
21,mountain,930.302734375,18.44456063417071,16.33984375,15.114777240859688,0.42607798771743555,0.6922192947321794
22,skunk,1148.576171875,17.529205586132935,16.70703125,13.829518832749327,0.3431979494167118,0.7863228166452187
23,dinosaur,327.5621744791667,22.977866154090197,10.6728515625,16.253941259111826,0.6967339569206956,0.7283464271151443
24,chimpanzee,515.3401692708334,21.009863650927606,12.039388020833334,12.850113744052793,0.58605938206134,0.7407374410181635
25,can,267.0384114583333,23.865066250293374,10.459635416666666,17.211507729206673,0.6608420592195756,0.7912500740846075
26,keyboard,725.3776041666666,19.52516218138772,17.741536458333332,14.417165910963575,0.41137671483458216,0.7689424815571154
27,bicycle,751.1474609375,19.373551573059316,15.8017578125,16.1490787340428,0.5601885250760346,0.71730935652419
28,bicycle,783.5862630208334,19.189935470553483,12.642903645833334,14.283385051545386,0.48697366985272295,0.6491178546301187
29,rose,1173.1643880208333,17.43721489580858,11.8427734375,16.038665417202306,0.43352348120877715,0.6483527969884166
30,chair,1204.4150390625,17.323041911269232,16.344075520833332,15.556233650828442,0.36221005046347976,0.6909279987413388
31,plate,302.9716796875,23.316783261948725,11.0888671875,16.987613014955077,0.662394036672289,0.7173622547405807
32,lawn_mower,932.2486979166666,18.435485754186377,11.964192708333334,16.78970489076103,0.3338337564133669,0.76720315221388
33,turtle,789.8717447916666,19.155237823004924,10.770833333333334,9.127313466755993,0.47260794863630384,0.6364021636022114
34,palm_tree,281.6025390625,23.634437945744615,9.954752604166666,18.236459485404957,0.6370067384387248,0.7890514153978434
35,shark,143.53645833333334,26.561181347669706,6.656901041666667,19.918143375469924,0.7792034290406897,0.810917372886535
36,pickup_truck,685.6806640625,19.769584581713268,12.7294921875,17.152517954007912,0.42702214102841696,0.7513738222261415
37,boy,470.8063151041667,21.402380813003816,11.407877604166666,15.332587726712896,0.6432287773816167,0.6946727107512896
38,couch,590.7467447916666,20.41679023661957,10.340494791666666,17.412414269853237,0.504265080481592,0.7798376016945268
39,house,627.7783203125,20.152740471643256,13.418294270833334,15.106402067849459,0.5801788359986468,0.6861123497383014
40,porcupine,240.23177083333334,24.3244991822912,9.253255208333334,17.413093365888866,0.749122599471588,0.7520070028077224
41,cockroach,545.5826822916666,20.76219784235124,9.719401041666666,16.84328788180128,0.6049073587987513,0.7409752517922721
42,mountain,601.1555989583334,20.340934645343598,11.25,17.372711451760736,0.5938511248569929,0.737425510769893
43,shark,442.8531901041667,21.668205833915287,9.596028645833334,17.500790795729817,0.67109209334351,0.7372524956458472
44,palm_tree,526.6510416666666,20.915574133520266,13.465494791666666,16.515807158515443,0.4973957572869402,0.8220525116860261
45,clock,569.2962239583334,20.577420576456788,13.610026041666666,16.537611143616818,0.3685554038313922,0.8168307129242214
46,lawn_mower,519.75390625,20.97282598878939,11.602864583333334,15.154186458551584,0.597691902029047,0.7450201764072615
47,pickup_truck,566.5914713541666,20.598103278732196,13.730143229166666,14.736000392199815,0.5817028884066962,0.7428499483121556
48,skunk,591.2493489583334,20.413096853359256,12.546223958333334,11.957438606792223,0.40980846178691444,0.7050977543935845
49,castle,574.947265625,20.534523480014762,12.3828125,16.039349614550193,0.5508351280977328,0.7035973424749492
50,beaver,390.9694010416667,22.2093759190879,9.410807291666666,13.492417501024331,0.6265027794812216,0.7049551623079671
51,bee,335.5576171875,22.87313259080666,10.2861328125,17.60638459395764,0.6940521946630023,0.7332215290952361
52,bottle,171.42447916666666,25.790075222310715,7.590494791666667,19.31938151562005,0.7788622966212227,0.8063287879290127
53,pear,354.2067057291667,22.638235820104455,9.519205729166666,14.906170784593382,0.6548044488392684,0.7899263757004719
54,baby,344.7874348958333,22.755289304403988,8.9404296875,17.491463571091423,0.6731232206645938,0.8024183835807213
55,flatfish,339.9453125,22.816713037955477,10.462239583333334,17.65236683407178,0.6092603082928056,0.7924526296840225
56,sea,209.64127604166666,24.91603566371564,7.37890625,18.86678180691488,0.818169908695047,0.7351523038901853
57,oak_tree,428.4837239583333,21.811460310598765,11.4140625,14.074504682332428,0.5932102716181851,0.6881657248493281
58,leopard,435.1168619791667,21.744744471394082,11.128580729166666,12.303767098853777,0.6455453415806481,0.6458257677476625
