image_index,category,mse,psnr,mae,snr,nrr,ssim
0,Winona Ryder,188.41775337451384,25.37958539750038,10.803706245710364,20.598591740470496,0.8081828124883546,0.6946136332610603
1,Jean Chretien,175.94051704415466,25.67714496950927,10.318233813772592,20.23547697477253,0.8029930083724052,0.7259508219226728
2,Carlos Menem,147.04827270647448,26.4562043340838,9.231068405399222,18.68499318575023,0.7722197612153987,0.7939562044343335
3,Ariel Sharon,196.31022649279342,25.20137436745713,11.077785403797758,20.304056678194435,0.7951865722408002,0.7218682718344972
4,Alvaro Uribe,164.54964539007094,25.967834101554818,9.999885609700298,19.480139276268808,0.8041052974897167,0.7303146440916652
5,Colin Powell,173.96190803019903,25.72626198466686,10.487645847632121,20.016989560976644,0.8181338199760705,0.6811396884020086
6,Recep Tayyip Erdogan,182.24056280027455,25.524353129307524,10.506405856783346,20.739710475466424,0.8049767113734358,0.73405849047877
7,Gray Davis,201.36524822695034,25.090958390670664,11.175360329444063,20.609528070244746,0.7945799258761366,0.7311565342583296
8,George Robertson,194.36799359414323,25.244556092789573,11.093456874857011,20.979559716999603,0.8182532787711135,0.6844644225227334
9,Silvio Berlusconi,118.34843285289408,27.39917849408438,8.57698467169984,18.138936643130837,0.8142998195951183,0.7073080016721406
10,George W Bush,180.34660260809883,25.56972395430343,10.554335392358729,20.01090040297892,0.8053350583214481,0.7056716453695578
11,George W Bush,133.75817890642872,26.867600135740496,9.010523907572638,19.856642117952777,0.8187976196803916,0.7540192639112187
12,Nestor Kirchner,127.02036147334707,27.09207016551951,8.95355753832075,19.056080578359953,0.825461200903241,0.6980075270618351
13,Jean Chretien,195.5212765957447,25.21886336704601,11.028483184625944,20.48781391388207,0.8067263968049445,0.6935305191211802
14,Bill Clinton,180.6991535117822,25.561242427620012,10.574468085106384,20.818709440429735,0.8079889300866514,0.7680056447121529
15,George W Bush,153.54781514527568,26.268367196857024,9.704758636467627,20.412255585756757,0.8184222949985864,0.76584935969842
16,Carlos Menem,174.7256920613132,25.70723591545687,10.36948066803935,19.030133259076415,0.7908175967986897,0.7344213488104431
17,Alvaro Uribe,187.54632807137955,25.399717952547938,10.431708991077556,19.203344257540437,0.7495811536957068,0.7453329371308488
18,George W Bush,110.92667581789064,27.680443623527424,7.958476321207962,18.291861103384996,0.800425319277587,0.8094492209494382
19,Colin Powell,153.65911690688628,26.265220279390956,9.88629604209563,20.22200303389109,0.828445109799048,0.664937512246135
20,Donald Rumsfeld,201.67524593914436,25.084277656386853,11.057309540150996,19.987870363751313,0.769216370165923,0.7572909370804366
21,George W Bush,176.43925875085793,25.664851362972918,10.433768016472204,20.167448128786955,0.8073407834012739,0.7002799541708321
22,Hugo Chavez,185.98798901853124,25.435954621951705,10.875428963623884,20.95939413103975,0.8241934657212795,0.6861998592618997
