image_index,category,mse,psnr,mae,snr,nrr,ssim
0,Winona Ryder,176.20830473575842,25.670539879160565,10.387897506291466,20.889546222130683,0.8243338049200261,0.7290954635199856
1,Jean Chretien,167.5800732097918,25.888579850553583,9.871997254632808,20.44691185581684,0.8161650661360789,0.7380570009176847
2,Carlos Menem,161.11908030199038,26.059333866858637,9.501143902997025,18.288122718525063,0.7594039379777641,0.7943969802020437
3,Ariel Sharon,185.82269503546098,25.439816063946093,10.663692518874399,20.542498374683397,0.8042374868735424,0.7321613098694805
4,Alvaro Uribe,153.15305422100207,26.27954698817046,9.506749027682453,19.791852162884453,0.8170312428680717,0.7533764338006032
5,Colin Powell,145.72775108670785,26.49538098073895,9.545412948981927,20.786108557048735,0.8474762899903442,0.7164846556228297
6,Recep Tayyip Erdogan,174.14870738961335,25.721601055915485,10.17478837794555,20.936958402074385,0.8177227969106906,0.75079460541659
7,Gray Davis,202.32944406314346,25.070212726415527,10.995881949210707,20.588782405989612,0.7909231272238806,0.7317591468792083
8,George Robertson,173.59986273164034,25.735309834313213,10.432852894074582,21.470313458523247,0.8393265225421519,0.7130425453827965
9,Silvio Berlusconi,104.12033859528712,27.955447891196663,7.961793639899336,18.695206040243125,0.8341900840853849,0.7388390028114117
10,George W Bush,170.07858613589568,25.824307239657962,10.087737359871882,20.265483688333447,0.8191330587452894,0.720037013046449
11,George W Bush,113.68382521162205,27.573816826449196,8.266758178906429,20.56285880866149,0.848620473517981,0.7869121035019045
12,Nestor Kirchner,116.52093342484557,27.466764058560123,8.526881720430108,19.430774471400568,0.840265567005912,0.7135618725899834
13,Jean Chretien,169.69526424159233,25.834106384231998,10.15396934339968,21.10305693106806,0.8357821941846362,0.7274286807573384
14,Bill Clinton,170.30176161061542,25.818612205165067,10.158773735987188,21.07607921797479,0.8176252690244658,0.7975009789942521
15,George W Bush,150.29363989933654,26.361397582920834,9.61416151910318,20.50528597182057,0.8242980303339906,0.7783667373429949
16,Carlos Menem,171.87920384351406,25.778570275337792,10.091969800960879,19.101467618957333,0.7921305070817689,0.7423403486278168
17,Alvaro Uribe,192.52482269503545,25.285936287663446,10.473347060169298,19.089562592655945,0.7365030478907744,0.7533192574837985
18,George W Bush,107.76000915122398,27.806227412717046,7.786776481354381,18.41764489257462,0.7973921420142065,0.8150912826989352
19,Colin Powell,127.26904598490049,27.083575722387707,8.908258979638527,21.040358476887846,0.8608497129223166,0.7111321964971872
20,Donald Rumsfeld,203.05730954015098,25.054617332776793,10.950697780828186,19.958210040141257,0.7626139906239904,0.7520458524732812
21,George W Bush,160.29444063143444,26.081619005534314,9.648821779913064,20.584215771348354,0.8223039038527236,0.7318100995351298
22,Hugo Chavez,167.40803019903913,25.893040745494552,10.310798444291924,21.41648025458261,0.8429390556989232,0.6972646588407176
23,George W Bush,264.01521390986045,23.914514070029142,12.18405399222146,20.32412737031216,0.7219953517756663,0.7354392269052182
24,George W Bush,191.96694120338594,25.298539159618297,10.921871425303134,21.575540897272422,0.8220171331477399,0.7348443109950041
25,George W Bush,158.56749027682451,26.128662084072026,10.028483184625944,21.87433041090609,0.8536725452175721,0.7566192377103627
26,George W Bush,178.30759551590026,25.619105172978074,10.443719972546328,20.870755743405518,0.8233512498111704,0.7429027093508235
27,Andre Agassi,127.814230153283,27.065011523271664,8.830473575840768,20.74015418163624,0.8443462337595399,0.8106954012607012
28,Gerhard Schroeder,171.26275451841684,25.794174361154127,10.40665751544269,21.450502469576872,0.8276446958154442,0.7857218679498766
29,Pete Sampras,154.27236330359185,26.2479222832231,9.66151910318005,20.639509641908433,0.8246046106528995,0.7388717949257599
30,Ariel Sharon,133.3758865248227,26.880030417507772,9.112788835506748,21.241542450177345,0.8522418466208191,0.7765617565984447
31,Arnold Schwarzenegger,143.2920384351407,26.568582999872476,9.14378860672615,19.21482886928982,0.8127214819991002,0.7423877656561886
32,Recep Tayyip Erdogan,161.94269045984902,26.037190106494958,9.895790436970945,20.720869771368907,0.8099469605875375,0.8388408520799319
33,Jennifer Capriati,82.35106382978724,28.97411147010923,6.990505605124685,19.586940543170808,0.8512803213063793,0.8126826921963421
34,Winona Ryder,141.7254632807138,26.616324755546703,9.157629832990162,21.773302273103738,0.8387275900984454,0.7816038791976879
35,Serena Williams,123.61953786318921,27.209932451668806,8.71631205673759,19.203822364404513,0.8240720406632009,0.7940117095042628
36,John Ashcroft,141.22969572180278,26.631543374371347,9.296042095630291,19.840379918036632,0.8252530273547524,0.7802107616287506
37,Lindsay Davenport,150.56874857012124,26.353455200255254,9.662319835277968,20.643029026406513,0.8322256908808269,0.7907005542933064
38,Serena Williams,192.04644246167925,25.29674094321527,10.642644703729124,20.216970843178487,0.7856961597454399,0.8198712176229894
39,Rudolph Giuliani,162.70475863646763,26.016801059068495,10.015671471059255,20.880745355067653,0.8320849380237219,0.7307578067084157
40,Gerhard Schroeder,129.71402425074353,27.000934277641804,8.936398993365362,20.01264163732929,0.8404642288909776,0.6909795040277983
41,Alvaro Uribe,144.66975520475864,26.527026142727617,9.34648821779913,20.64461316607064,0.8304205298075404,0.7545673339400247
42,Jeremy Greenstock,210.1725005719515,24.905044694950817,10.9867307252345,19.847881881687695,0.7674463817218401,0.7641115713532485
43,Angelina Jolie,214.27327842598947,24.82112346409048,11.43983070235644,21.444670277281595,0.7812238162033247,0.7754886675062634
44,Colin Powell,190.10443834362846,25.340881044672447,10.766300617707618,20.91937258264146,0.8161919645720934,0.6966647367592346
45,John Ashcroft,151.81068405399222,26.317780236799038,9.662205444978266,20.40780406384933,0.8275639572239066,0.7555492037996473
46,George W Bush,140.97391901166782,26.63941587765825,9.427590940288264,21.954487696275503,0.8631578316206882,0.7506341001507962
47,Ariel Sharon,120.5928849233585,27.31758676029606,8.658087394188973,20.41463198971584,0.847666488500169,0.7417925464009626
48,Pete Sampras,123.20921985815603,27.22437153171798,8.638641043239533,19.79557884248048,0.8271368898907753,0.8007696292338594
49,Jean Chretien,201.11759322809425,25.096302976919567,10.79158087394189,19.41388374000386,0.7723854956001374,0.7749656237083564
50,Tom Ridge,126.29283916723861,27.11701634210587,8.729581331503088,19.7647464383853,0.8347799631654489,0.7498558259874623
51,Arnold Schwarzenegger,145.80382063601007,26.493114565060033,9.426790208190345,20.722950011500995,0.8405251015722444,0.7356140494115206
52,George W Bush,190.69217570350034,25.32747487006519,10.722603523221231,21.71588453634346,0.8257916379242148,0.6738987514389306
53,George W Bush,176.55936856554564,25.661895938916402,10.432166552276367,20.225047584957107,0.8085238936683007,0.7606347435174666
54,Bill Clinton,163.93891557995883,25.98398302870738,9.998856097002975,20.257065087111968,0.8149217240468202,0.752275436542743
55,Luiz Inacio Lula da Silva,143.18302447952414,26.571888290125546,9.379775795012582,19.846019738785166,0.8178553836594492,0.7802129216125383
56,Rudolph Giuliani,136.73667353008466,26.7719535050135,9.047586364676276,20.77129548014037,0.8424773247321848,0.7434604157900534
57,Tony Blair,203.87737359871883,25.0371133060952,11.144589338824067,19.60200071722626,0.778919218565816,0.7190662183896682
58,Alejandro Toledo,134.07584076870282,26.857298318312477,9.119537863189201,20.622877080593604,0.8453645419398963,0.741894405088134
59,Colin Powell,142.1051246854267,26.604706208540833,9.280828185769847,20.06719620060959,0.8197100024076729,0.8022732003126576
60,Vladimir Putin,201.3766872569206,25.0907116864088,10.963509494394875,20.90547721371843,0.8100854857233599,0.6852100718525093
61,Tony Blair,163.41420727522305,25.99790549350779,10.033287577213452,21.390174560188857,0.8387606063400397,0.737383852234582
62,George W Bush,157.09391443605583,26.16920999367278,9.718256691832533,20.74513193458651,0.8150693472273767,0.8098985539213529
63,Vladimir Putin,232.55216197666437,24.46559979479325,11.477579501258294,19.49813117435459,0.7426310796204204,0.7584085639373342
64,Carlos Menem,187.91249142072752,25.391247102257214,10.464996568291008,19.843785551954102,0.7878370011383511,0.7298137614729594
65,Amelie Mauresmo,140.074239304507,26.667220882273345,9.261381834820407,20.410862680070355,0.831737800248849,0.7561968438587959
66,Gerhard Schroeder,199.66048959048274,25.127882291495048,10.811256005490735,19.17603745653597,0.765154514974388,0.7496586581362573
67,Tony Blair,118.48547243193777,27.394152563396652,8.311370395790437,20.184386563401155,0.8292085950387059,0.8108976290613952
68,Tony Blair,169.46808510638297,25.839924386664748,10.1548844657973,21.149915776612332,0.8340285732690654,0.7160744219960239
69,Jennifer Capriati,129.7121940059483,27.00099555635299,8.983070235644018,19.687181547558794,0.833838266240877,0.7793907016920768
70,Roh Moo-hyun,157.56829100892244,26.156115362004023,9.73804621368108,20.182256467593863,0.8204209501199725,0.7736508910688205
71,Nestor Kirchner,135.16563715396936,26.82214064907617,9.269732326698696,20.738920653596015,0.8434840637254941,0.7712258783815312
72,Alejandro Toledo,138.40482727064744,26.71929123200605,9.076755891100435,20.232206965048437,0.8166723208364313,0.8266455683288498
73,Nestor Kirchner,148.69995424388011,26.407695259816858,9.62079615648593,20.555346576558073,0.8335681420180283,0.7639473547795236
74,Angelina Jolie,141.57881491649508,26.620820881157936,9.310455273392817,20.558904720738592,0.8330056903291928,0.7481052473203263
75,Arnold Schwarzenegger,178.987302676733,25.602581375585153,10.393617021276595,20.41376735463842,0.8161845237388984,0.7341698017256336
76,Arnold Schwarzenegger,127.8141157629833,27.065015410092258,8.925303134294213,21.45167637389793,0.8612291286548335,0.7293981886699586
77,Luiz Inacio Lula da Silva,189.00217341569436,25.366135625305596,10.673415694349119,20.558899260307342,0.8047068031835877,0.762032048999424
78,Colin Powell,178.20510180736673,25.621602276369142,10.468199496682681,20.299573880259672,0.7954862192330535,0.8028634898747177
79,Tony Blair,142.58647906657515,26.590020158932997,9.425188743994509,21.882607788950217,0.8628222956483155,0.7165192071296026
80,Colin Powell,151.27362159688857,26.33317156530621,9.66323495767559,21.006505455566394,0.8437379141934767,0.7399328812583293
81,Ariel Sharon,151.06874857012124,26.33905729270756,9.691946922900938,21.035866303698366,0.8434352223951236,0.7140591450494888
82,George W Bush,166.7923816060398,25.909041509092276,10.109242736215968,20.36359741921008,0.8172336238720301,0.7716615906610939
83,Colin Powell,126.41111873713109,27.112950860211296,8.729581331503088,18.973230596245763,0.8193569542650673,0.7249100629132975
84,George W Bush,162.61553420269962,26.0191833070291,9.961221688400824,20.52367067688764,0.8128673730901338,0.7958184601685075
85,Lleyton Hewitt,147.54186684969113,26.441650865754905,9.554678563257836,21.015281630906536,0.8451617108752743,0.7795601565330275
86,Colin Powell,169.09345687485703,25.849535581082645,10.054106611759323,20.481288237434534,0.8105679993367,0.7613889443899083
87,Alvaro Uribe,140.90391214824982,26.641573095554946,9.345916266300618,21.5965411261761,0.8546644165554728,0.7098877304299306
88,Jacques Chirac,174.05353466026082,25.723975135529184,10.274079158087394,21.28195417871919,0.8269315223339316,0.7250775400087845
89,Jacques Chirac,147.09951956074124,26.454691065799402,9.466941203385954,20.202404353150918,0.8261278251402531,0.758128042272333
90,Alejandro Toledo,144.49199267902083,26.532365804305083,9.381034088309312,20.48379572794182,0.8337577078694924,0.7124450380888264
91,Jennifer Lopez,227.13761153054222,24.567913062268207,11.551475634866163,19.95777225374007,0.7634974614803192,0.7709069231945533
92,Jiang Zemin,157.9876458476321,26.1445723309053,9.733470601692977,19.551755147385556,0.806951047127115,0.7601445272209751
93,Gerhard Schroeder,129.05147563486616,27.02317386033616,8.932052161976664,21.60900794680579,0.8548119953762963,0.7463932896808374
94,Colin Powell,219.88172043010752,24.7089123449172,11.577442232898651,20.781862283109753,0.7848292200604092,0.7393550444396356
95,John Ashcroft,147.55010295126974,26.441408440081897,9.497712194005949,21.010239270709626,0.8450295942230442,0.7103309580091239
96,Hugo Chavez,132.99450926561428,26.892466495614915,9.056966369251887,20.916047515411528,0.8489295149153514,0.7954628874076223
97,Gloria Macapagal Arroyo,191.69263326469914,25.304749375775614,10.519675131548844,21.188024983197614,0.8084845984441303,0.769660287015256
98,Kofi Annan,172.55719514985128,25.761472880040763,10.193205216197667,19.498787945627235,0.795513925297065,0.7409051818688587
99,David Beckham,135.6941203385953,26.805193308929507,9.186456188515214,20.428427129786964,0.8401924741984855,0.7136895514465538
100,Colin Powell,166.98272706474492,25.90408811447506,10.232326698695951,22.04295593489812,0.851919806222853,0.7043610929068804
101,David Beckham,130.70384351407,26.96792002113616,8.933310455273393,19.898921746377503,0.8264107046223207,0.7928999900838032
102,Hugo Chavez,151.6512239762068,26.322344410186705,9.6946922900938,21.627314283589744,0.8495224902717728,0.7449838359194452
103,Ariel Sharon,164.29558453443147,25.974544689976618,10.072752230610844,22.25972577115452,0.8482678448543066,0.7234874205552132
104,George W Bush,162.5344314802105,26.02134984366095,9.983070235644018,20.94056182728997,0.8347803811731802,0.7205637529596757
105,Donald Rumsfeld,143.8096545412949,26.55292317844252,8.857012125371769,18.876779342497446,0.7899856703321082,0.7653704608386428
