image_index,category,mse,psnr,mae,snr,nrr,ssim
0,Winona Ryder,4615.054221002059,11.489035530696484,34.6149622512011,6.708041873666577,0.0,0.3497846927295198
1,Jean Chretien,5110.40391214825,11.04625133945576,39.54392587508579,5.6045833447189946,0.0,0.2803548680419727
2,Carlos Menem,3450.252573781743,12.752294723498135,31.94371997254633,4.981083575164538,0.0,0.37336297899521725
3,Ariel Sharon,4798.309883321895,11.319920688261542,36.47529169526424,6.422602998998823,0.0,0.3415680798692458
4,Alvaro Uribe,3028.990391214825,13.317824652336343,28.912148249828416,6.830129827050309,0.0,0.4152621644357349
5,Colin Powell,4933.0360329444065,11.199660731268782,40.523335621139324,5.490388307578539,0.0,0.24395340112261318
6,Recep Tayyip Erdogan,5286.559025394647,10.89907275320941,37.79718599862731,6.114430099368285,0.0,0.3803018576677501
7,Gray Davis,5036.22306108442,11.109754035201085,36.81743308167467,6.6283237147751475,0.0,0.35018798937528767
8,George Robertson,5841.12285518188,10.465840201022012,41.01990391214825,6.20084382523202,0.0,0.30070415337357764
9,Silvio Berlusconi,1759.9529855868223,15.675792944020158,23.9248455730954,6.415551093066581,0.0,0.3684795775129905
10,George W Bush,4217.27282086479,11.880486638692709,35.13898421413864,6.3216630873681705,0.0,0.3324852456211915
11,George W Bush,2806.9066575154425,13.648523902712347,26.606039807824295,6.637565884924599,0.0,0.3846660428664956
12,Nestor Kirchner,2499.270761839396,14.152670523193416,28.439601921757035,6.116680936033827,0.0,0.3156808006686714
13,Jean Chretien,6322.044269045985,10.122228282800283,46.00583390528483,5.3911788296363214,0.0,0.2473944760963623
14,Bill Clinton,4350.923816060398,11.744988819314894,34.70761839396019,7.002455832124593,0.0,0.39993074315396265
15,George W Bush,3846.3291008922442,12.280339201264619,32.3716540837337,6.424227590164326,0.0,0.3797733114960716
16,Carlos Menem,3886.1190803019904,12.235642565429787,36.11358956760467,5.558539909049306,0.0,0.3378349174705068
17,Alvaro Uribe,3364.2693891557997,12.861895968277523,29.6990391214825,6.665522273270001,0.0,0.37065030406794036
18,George W Bush,1415.9790665751543,16.6202352795067,19.039464653397392,7.231652759364239,0.0,0.5114155893454446
19,Colin Powell,4079.7879203843513,12.024427731213407,35.51407000686342,5.981210485713515,0.0,0.28284835428987903
20,Donald Rumsfeld,4948.598146877145,11.185981727022767,37.92141386410432,6.089574434387211,0.0,0.35326344649831465
21,George W Bush,4397.451269732327,11.698793253373,36.7786547700755,6.201390019187015,0.0,0.3047062740160644
22,Hugo Chavez,4588.284145504461,11.514300556047894,33.581331503088535,7.037740065135921,0.0,0.34869332346188314
23,George W Bush,6926.3387096774195,9.725766354004834,45.20006863417982,6.135379654287836,0.0,0.31765507267967
24,George W Bush,6986.647906657516,9.688115034084305,45.602608098833215,5.965116771738408,0.0,0.2991984928166618
25,George W Bush,5258.644818119424,10.922065223876,37.717570350034315,6.667733550710041,0.0,0.33122729023372255
26,George W Bush,5068.128002745367,11.08232785796214,37.9289636238847,6.333978428389555,0.0,0.35171617575866176
27,Andre Agassi,3305.618393960192,12.938276444101643,30.22923816060398,6.613419102466186,0.0,0.41131054240464815
28,Gerhard Schroeder,4857.555250514756,11.266626118416445,35.73850377487989,6.922954226839169,0.0,0.42778794844609774
29,Pete Sampras,3733.9828414550448,12.409080429373663,32.0617707618394,6.800667788058967,0.0,0.3565960108621103
30,Ariel Sharon,4067.6533973919013,12.037364210452065,33.35346602608099,6.398876243121606,0.0,0.36137344810937755
31,Arnold Schwarzenegger,2771.90768702814,13.703015980168336,28.404598490048045,6.349261849585652,0.0,0.36279607213339665
32,Recep Tayyip Erdogan,4397.87302676733,11.698376743993762,33.28551818805765,6.382056408867681,0.0,0.46067089237421105
33,Jennifer Capriati,1438.7244337680165,16.551027416042587,18.53500343170899,7.163856489104116,0.0,0.5116911810335325
34,Winona Ryder,5577.772134522992,10.666195925550621,38.928620452985584,5.82317344310762,0.0,0.3218682523229085
35,Serena Williams,2201.474262182567,14.703667484547992,25.725463280713797,6.697557397283667,0.0,0.4105445528517598
36,John Ashcroft,3437.6609471516817,12.768173204081956,33.18737131091284,5.977009747747211,0.0,0.3427670261744707
37,Lindsay Davenport,4647.3462594371995,11.458753292410705,37.71002059025395,5.7483271185619405,0.0,0.32520862495512054
38,Serena Williams,5507.571379547015,10.721202264400201,39.68393960192176,5.641432164363395,0.0,0.3571605074559871
39,Rudolph Giuliani,4538.421757035004,11.561755083137333,36.482841455044614,6.425699379136466,0.0,0.34306545831248
