image_index,category,mse,psnr,mae,snr,nrr,ssim
0,Winona Ryder,95.62605811027225,28.325041071751457,7.719171814230153,23.544047414721597,0.7652460616598962,0.8186472507081798
1,Jean Chretien,100.20224204987417,28.122029217818394,7.846030656600321,22.680361223081675,0.7518507764153308,0.8168414092630846
2,Carlos Menem,105.01166781056966,27.918428048053514,7.955159002516587,20.147216899719954,0.7291732368832908,0.8338732318877176
3,Ariel Sharon,97.91054678563258,28.22250884957562,7.7323266986959505,23.325191160312944,0.7543381600805465,0.8379926137857732
4,Alvaro Uribe,94.99839853580417,28.35364076767748,7.691374971402425,21.86594594239149,0.7651215336748526,0.810939722424318
5,Colin Powell,80.87943262411348,29.052422648858624,7.147105925417525,23.343150225168436,0.8008963841633542,0.8102151226877052
6,Recep Tayyip Erdogan,104.21882864333105,27.95134173217326,8.038320750400366,23.166699078332176,0.7411956832664507,0.828948426403057
7,Gray Davis,111.59620224204987,27.654309455977597,8.242278654770075,23.172879135551693,0.7237536301484679,0.824525096133423
8,George Robertson,90.57789979409746,28.56058114275975,7.6019217570350035,24.29558476696981,0.7784419091055352,0.816145202144012
9,Silvio Berlusconi,81.69103180050331,29.009059794069426,7.216083276138184,19.7488179431159,0.8003599510560493,0.7720124202387884
10,George W Bush,97.10352322123084,28.258453731042877,7.774536719286204,22.699630179718383,0.7640314947497168,0.8063214375751739
11,George W Bush,83.35552505147564,28.921459694232166,7.275451841683825,21.91050167644447,0.7985315101579717,0.8212683480486875
12,Nestor Kirchner,82.5974605353466,28.96113665756237,7.276710134980553,20.925147070402833,0.7981575901917045,0.7803851861587443
13,Jean Chretien,95.66723861816519,28.32317122393954,7.759437199725463,23.59212177077562,0.7636875483179695,0.8215618841087364
14,Bill Clinton,92.61633493479754,28.46392770013173,7.571036376115305,23.721394712941475,0.7741184111522987,0.8637522571261645
15,George W Bush,90.34237016700983,28.571888806094247,7.625142987874629,22.715777194994004,0.7734490930052239,0.8419680815412178
16,Carlos Menem,107.07012125371769,27.83412066366762,8.097117364447495,21.15701800728718,0.7341340874476439,0.826479959518229
17,Alvaro Uribe,113.38698238389385,27.585171634835003,8.338709677419354,21.38879793982752,0.7115283428498257,0.804584550131367
18,George W Bush,91.32555479295355,28.52488041683525,7.669412033859529,19.136297896692827,0.7554729066046095,0.7965196294004517
19,Colin Powell,79.30256234271334,29.13793140847616,7.1570578814916495,23.094714162976317,0.8072188479008173,0.7956529717079827
20,Donald Rumsfeld,120.32521162205445,27.327237267020994,8.589224433768017,22.230829974385475,0.7013833846223727,0.8295784287189328
21,George W Bush,99.71665522763669,28.14312658229739,7.800160146419584,22.645723348111453,0.7571614857190931,0.8074334781340183
22,Hugo Chavez,85.84900480439259,28.793450958551382,7.358270418668497,24.31689046763946,0.7889220735864027,0.8155349486641766
23,George W Bush,145.64950812171128,26.49771338573547,9.13452299245024,22.9073266860185,0.6364808474580143,0.8253439700813817
24,George W Bush,97.47517730496453,28.241863270361186,7.757263784031114,24.518865008015336,0.7605505610620966,0.8433891117156757
25,George W Bush,83.32177991306337,28.923218221298207,7.298444291924045,24.6688865481323,0.7966227150737286,0.8454550638548172
26,George W Bush,98.7787691603752,28.184167505648254,7.772820864790666,23.435818076075712,0.7583725704666455,0.8359008311092259
