image_index,category,mse,psnr,mae,snr,nrr,ssim
0,Winona Ryder,149.15774422328985,26.394345541511882,8.585106382978724,21.613351884482004,0.6305691068888308,0.8231006820704035
1,Jean Chretien,162.01624342255778,26.03521802651568,8.728437428506062,20.59355003177894,0.5995550945155559,0.8003859752597231
2,Carlos Menem,319.34179821551135,23.088245943913996,12.497140242507434,15.317034795580412,0.17397821566327654,0.71682580258025
3,Ariel Sharon,206.1285746968657,24.989421605832575,10.051704415465569,20.092103916569872,0.4928930918849431,0.7789021463541576
4,Alvaro Uribe,115.16106154198124,27.51774701364711,8.090597117364448,21.03005218836111,0.719409720760918,0.8231979000172372
5,Colin Powell,94.19595058339053,28.39048127683194,7.454701441317776,22.68120885314174,0.7727791106923046,0.8110148768384212
6,Recep Tayyip Erdogan,161.6763898421414,26.04433757844218,9.311713566689544,21.259694924601078,0.5967779897483826,0.7964958463044759
7,Gray Davis,202.22008693662778,25.072560681072254,9.855181880576527,20.59113036064634,0.4937605221476622,0.7862596675262186
8,George Robertson,151.28975062914665,26.332708538359938,8.716197666437886,22.067712162569975,0.6293791380730321,0.8064953414902828
9,Silvio Berlusconi,114.46739876458476,27.543985471412157,7.991077556623198,18.283743620458615,0.7265554187128178,0.7848834414204257
10,George W Bush,117.8674216426447,27.416865774519824,8.2654998856097,21.85804222319532,0.7178537435418878,0.7996758339993809
11,George W Bush,118.85460992907801,27.380643298063696,8.31239990848776,20.36968528027598,0.7096053026538423,0.8134261975023659
12,Nestor Kirchner,98.03957904369709,28.216789230307455,7.721116449325097,20.180799643147914,0.763551035486022,0.7829317472767104
13,Jean Chretien,121.81640356897735,27.273745873508698,8.219972546328071,22.542696420344768,0.6991339484087071,0.8235457826388055
14,Bill Clinton,125.51910318005034,27.143705332634273,8.196293754289636,22.40117234544401,0.6881524485970258,0.8674412355245823
15,George W Bush,200.15637153969342,25.117109413931246,9.800160146419584,19.26099780283098,0.5056989203874367,0.8003621514832856
16,Carlos Menem,171.17970716083275,25.79628081779304,9.480324868451156,19.11917816141258,0.580756085951484,0.7886294838818738
17,Alvaro Uribe,203.87439945092657,25.037176661109694,10.086936627773964,18.84080296610219,0.47778214683994713,0.7851495555988395
18,George W Bush,269.8315030885381,23.819877082717827,11.159574468085106,14.431294562575376,0.29118729966799006,0.7227638432047699
19,Colin Powell,83.16300617707618,28.93150181043987,7.102150537634409,22.888284564940026,0.7978006494756247,0.8130639576902636
20,Donald Rumsfeld,203.07584076870282,25.05422100904393,10.17833447723633,19.957813716408392,0.49113544600521797,0.7947538154461862
21,George W Bush,180.90276824525282,25.5563514821241,9.296042095630291,20.058948247938137,0.5570521041854035,0.7873419028317562
22,Hugo Chavez,100.7606954930222,28.097892043469187,7.726149622512011,23.62133155255726,0.7539274943038901,0.8207954835613888
23,George W Bush,270.4143216655228,23.81050671913405,11.262182566918325,20.220120019417067,0.31200214668093906,0.78005464371891
24,George W Bush,175.6993822923816,25.683101262222525,9.070921985815604,21.960102999876653,0.5671700968395068,0.8385169954602536
25,George W Bush,88.59597346145047,28.656663764888734,7.353923587279799,24.402332091722823,0.7830710459927832,0.8576921019691978
26,George W Bush,148.66861130176162,26.40861076121386,8.875428963623884,21.660261331641305,0.6337277611237007,0.8296724112410468
27,Andre Agassi,112.96728437428506,27.601276720118314,8.044612216884008,21.276419378482892,0.7192584666502164,0.8557324045036206
28,Gerhard Schroeder,111.73209791809654,27.649024075713324,8.128574696865705,23.305352184136083,0.7301167494933967,0.8699559990356267
29,Pete Sampras,132.36113017616105,26.913198941058788,8.474834134065432,21.304786299744123,0.6727532455264862,0.8142354996721455
30,Ariel Sharon,89.96511095859071,28.5900624093777,7.420841912605811,22.951574442047292,0.7779524789083441,0.852278056396182
31,Arnold Schwarzenegger,134.77076183939602,26.83484677489878,8.520475863646762,19.481092644316124,0.6683241553521926,0.794101408664508
32,Recep Tayyip Erdogan,208.75806451612902,24.934370991927324,10.227979867307253,19.618050656801262,0.48193329947616015,0.8611654568554411
33,Jennifer Capriati,189.9564172958133,25.34426390963042,10.105582246625486,15.95709298269197,0.5065586201937278,0.6982316568262507
34,Winona Ryder,154.37920384351406,26.24491563989296,9.133722260352322,21.40189315744999,0.6097799693394685,0.7916216077451534
35,Serena Williams,143.06851978952184,26.575362769733992,8.805422100205902,18.569252682469696,0.6421812466187307,0.8262495489490619
36,John Ashcroft,158.31949210706932,26.135459728950035,8.910889956531687,19.344296272615317,0.6154643975837,0.8274077730985069
37,Lindsay Davenport,111.42576069549303,27.66094753203008,8.102264927934112,21.950521358181348,0.7292792082961264,0.8576070631441314
38,Serena Williams,199.68714253031342,25.127302584804376,10.197552047586365,20.047532484767594,0.4959918465511691,0.8602163020885136
39,Rudolph Giuliani,125.73793182338137,27.136140482057343,8.1593456874857,22.000084778056504,0.6882598694220703,0.8215289132349985
40,Gerhard Schroeder,93.16071837108213,28.438475321066576,7.508693662777397,21.450182680754075,0.7730462005259104,0.769233035148544
41,Alvaro Uribe,95.52756806222833,28.329516392364454,7.55708075955159,22.447103415707495,0.7688808223848806,0.8360749723470432
42,Jeremy Greenstock,236.89029970258522,24.385330834794303,10.326355525051476,19.328168021531177,0.40313114084110035,0.8013003666481465
43,Angelina Jolie,215.65648592999312,24.793178366597726,10.555822466254861,21.41672517978884,0.4269613741967585,0.7961465534725342
44,Colin Powell,173.92175703500342,25.727264466673624,9.281171356668954,21.305756004642646,0.5697102778585132,0.77119812893191
45,John Ashcroft,151.66678105696636,26.32189891376234,8.652367879203844,20.41192274081263,0.6231685231543693,0.8239902582302152
46,George W Bush,86.37851750171585,28.766746148071466,7.202585220773279,24.08181796668873,0.7877736753929703,0.8506846029618812
47,Ariel Sharon,108.02539464653397,27.795544992843247,8.051704415465569,20.892590222263028,0.7365273971800147,0.8095194354530321
48,Pete Sampras,180.23301304049417,25.57246017797795,9.662205444978266,18.143667488740437,0.5452944553003339,0.7930573324752119
49,Jean Chretien,283.03351635781286,23.6124249386881,11.130748112560054,17.930005701772387,0.3104114183438307,0.8140317941532272
50,Tom Ridge,128.535003431709,27.04058947386367,8.40574239304507,19.688319570143097,0.6832459500608756,0.8012304093183551
51,Arnold Schwarzenegger,141.0036604895905,26.63849973674973,8.336307481125601,20.8683351831907,0.6559649069435052,0.8193343185006355
52,George W Bush,150.44108899565316,26.357138923852194,8.681308625028597,22.745548590130472,0.6371057442243884,0.7718309717228551
53,George W Bush,169.92415923129718,25.828252311164015,9.174673987645848,20.391403957204716,0.5815347924487482,0.8297160682241653
54,Bill Clinton,161.72981011210248,26.042902842269516,9.54243880118966,20.3159849006741,0.6038530853598671,0.776027889971937
55,Luiz Inacio Lula da Silva,143.58510638297872,26.559709665823767,8.80130404941661,19.833841114483384,0.6441758295338191,0.8219968955983735
56,Rudolph Giuliani,161.38274994280485,26.05223249348173,9.254632807137956,20.051574468608596,0.5925998439482592,0.7750016454820653
57,Tony Blair,160.8059940517044,26.067781278045924,9.668496911461908,20.63266868917699,0.6024856979898434,0.7826364650448946
58,Alejandro Toledo,105.59151223976207,27.89451351151026,7.859871882864333,21.6600922737914,0.7393432364799346,0.8133079596126436
59,Colin Powell,173.5792724776939,25.73582497089681,9.455959734614504,19.198314962965558,0.5725661271408946,0.8276330216504161
60,Vladimir Putin,134.23976206817662,26.851991871431864,8.454587051018073,22.666757398741506,0.6704992052552828,0.7914520712025835
61,Tony Blair,137.4556165637154,26.74917870651364,8.488332189430336,22.141447773194713,0.6591820052732132,0.8090883239405476
62,George W Bush,181.77579501258293,25.535443081223654,9.477922672157401,20.111365022137377,0.5472371386101968,0.8371632436726472
63,Vladimir Putin,246.80130404941661,24.20732910774251,11.007664150080073,19.23986048730385,0.38607688945646756,0.7975093002557747
64,Carlos Menem,163.920384351407,25.984473971640107,9.25486158773736,20.437012421337,0.6028412667133947,0.8004313895008583
65,Amelie Mauresmo,144.0181880576527,26.5466301825687,8.585792724776939,20.290271980365713,0.6494666855992584,0.8239452278667739
66,Gerhard Schroeder,269.1980096087852,23.830085163825263,11.117936398993365,17.87824032886618,0.3345660849198918,0.7685944210709207
67,Tony Blair,178.05525051475635,25.625255761406173,9.679135209334248,18.41548976141066,0.5540951080658889,0.7738702681829617
68,Tony Blair,116.81194234728895,27.455931154340163,8.076183939601922,22.765922544287758,0.7102452262264716,0.8055631798007418
69,Jennifer Capriati,145.31239990848775,26.50777685440785,8.747083047357584,19.193962845613655,0.6427432634046402,0.8198591560329995
70,Roh Moo-hyun,183.77625257378173,25.487909693917032,9.535575383207505,19.51405079950687,0.5469999289443499,0.8245360813146766
71,Nestor Kirchner,140.6153054221002,26.65047766367637,8.674102036147335,20.567257668196213,0.6478947309626089,0.808538812834226
72,Alejandro Toledo,157.21448181194233,26.165878122858103,9.311713566689544,19.67879385590049,0.6035245683861985,0.8367277591244613
73,Nestor Kirchner,109.49153511782201,27.73699816063671,8.085907115076642,21.884649477377934,0.7362794651061233,0.8413435059846673
74,Angelina Jolie,153.63395104095173,26.26593161315485,8.925875085792725,20.204015452735508,0.6136840394580345,0.780597608541968
75,Arnold Schwarzenegger,121.62983299016244,27.28040250454749,8.29329672843743,22.091588483600766,0.7022861478758284,0.8155981279080624
76,Arnold Schwarzenegger,83.61198810340883,28.908118107745544,7.1175932280942575,23.294779071551236,0.7948001568751195,0.8275674873968842
77,Luiz Inacio Lula da Silva,132.58590711507665,26.9058299658365,8.487760237931823,22.09859360083826,0.6745564223573464,0.8416798678602916
